collection_id,time,type,scheduling_class,priority,collection_type
385570838885,1663349660940,1,2,115,0
385570838885,1663353759841,2,2,115,0
385570838885,1663364596642,3,2,115,0
385570838885,1663650722833,6,2,115,0
385571126527,1663590947185,1,2,115,0
385571126527,1663598256703,2,2,115,0
385571126527,1663605912573,3,2,115,0
385571126527,1664208008396,6,2,115,0
385582865073,1668200671935,0,2,117,0
385582865073,1668224107651,2,2,117,0
385582865073,1668260488786,3,2,117,0
385582865073,1668907668001,6,2,117,0
385588067641,1671437636829,0,2,117,0
385588067641,1671465243362,2,2,117,0
385588067641,1671497168586,3,2,117,0
385588067641,1671899020075,6,2,117,0
385588645258,1672096639549,0,2,117,0
385588645258,1672128661898,2,2,117,0
385588645258,1672169960797,3,2,117,0
385588645258,1672560224674,6,2,117,0
385591192180,1672900192955,0,2,117,0
385591192180,1672923795633,2,2,117,0
385591192180,1672964465825,3,2,117,0
385591192180,1673634745676,6,2,117,0
385596487593,1675754313151,0,2,25,0
385596487593,1675754313155,2,2,25,0
385596487593,1675754397784,3,2,25,0
385596487593,1675928089389,6,2,25,0
385600456083,1678010435444,0,2,117,0
385600456083,1678042551351,2,2,117,0
385600456083,1678104248054,3,2,117,0
385600456083,1679339932749,6,2,117,0
385605750251,1682347507037,0,2,117,0
385605750251,1682378884045,2,2,117,0
385605750251,1682385868850,3,2,117,0
385605750251,1683372235352,6,2,117,0
385616422046,1692085673711,0,2,117,0
385616422046,1692105382682,2,2,117,0
385616422046,1692113224111,3,2,117,0
385616422046,1692368920143,6,2,117,0
385669425916,1705126700884,0,2,117,0
385669425916,1705154141728,2,2,117,0
385669425916,1705206845806,3,2,117,0
385669425916,1706683526763,6,2,117,0
386534551144,1716684307455,1,0,105,0
386534551144,1717150622478,2,0,105,0
386534551144,1717159532433,3,0,105,0
386534551144,1721813747385,6,0,105,0
386927323851,1718938856903,0,2,25,0
386927323851,1718938856907,2,2,25,0
386927323851,1718938980164,3,2,25,0
